created,link,type_v,address,town,price,rooms,surface,price_old,info,description,tags,agent
2025-01-18 16:50:13,https://www.idealista.com/inmueble/107014212/,Piso,"calle del Montsant, Can Peguera - El Turó de la Peira, Barcelona","calle del Montsant, Can Peguera - El Turó de la Peira, Barcelona",92000,3.0,58.0,,"['3 hab.', '58 m²', 'Sótano sin ascensor']","Piso de 58 m² en venta, situado en Barcelona. Construida en 1955, la vivienda cuenta con una superficie de 58 m² y está distribuido en salón-comedor, cocina, 3 dormitorios y 1 baño. La vivienda está comunicada mediante autobuses con las líneas 122, 47, 182, D40, D50 y N1 entre otras, próxima a la estación de metro y a",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/105810493/,Piso,"calle de Catània, El Besòs, Barcelona","calle de Catània, El Besòs, Barcelona",87000,2.0,51.0,,"['2 hab.', '51 m²', 'Bajo exterior sin ascensor']",EXCLUSIVO INVERSORES***CONTACTO POR WHATSAPP***Agente: AnaWhatsapp: 6 9 1 4 9 2 4 8 3Oportunidad de Inversión en el Distrito de Sant Martí.La vivienda se encuentra en perfecto estado a excepción de una de las habitaciones a la que se le ha de realizar una reparación y por eso el ajuste tan a la baja en el precio,,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/107012975/,Piso,"calle de la Riera Baixa, El Raval, Barcelona","calle de la Riera Baixa, El Raval, Barcelona",90000,1.0,30.0,,"['1 hab.', '30 m²', 'Planta 1ª interior sin ascensor']","Presentamos oportunidad de piso ideal para perfiles inversores, actualmente alquilado por 500€ hasta 2027, en pleno corazón del barrio El Raval, cuenta con 30mts² construidos, 1 dormitorios, un cuarto de baño, salón y cocina tipo office. Finca del año 1850. Es un primero real de altura con carpintería de aluminio y sue",Alquilada,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106996402/,Piso,"calle d&#039;Andrade, 210, La Verneda i la Pau, Barcelona","calle d&#039;Andrade, 210, La Verneda i la Pau, Barcelona",95000,1.0,30.0,,"['1 hab.', '30 m²', 'Bajo exterior sin ascensor']","30 metros, amueblado y equipado.",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106988638/,Estudio,"calle de Catània, El Besòs, Barcelona","calle de Catània, El Besòs, Barcelona",82000,,48.0,,"['48 m²', 'Planta 2ª ']","¡Oportunidad para comprar tu Piso! Situado en CALLE CATANIA BARCELONA, se encuentra este activo inmobiliario de tipo piso, con una superficie construida de 47.5 metros cuadrados. ¡Es el momento perfecto para adquirir tu nueva propiedad en Barcelona! Si lo deseas, puedes solicitar un recorrido virtual o una visita en pe",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106988512/,Piso,"calle de Sant Iscle, Can Peguera - El Turó de la Peira, Barcelona","calle de Sant Iscle, Can Peguera - El Turó de la Peira, Barcelona",94000,2.0,59.0,,"['2 hab.', '59 m²', ' sin ascensor']","Descubre este acogedor piso de segunda mano en el corazón de Barcelona, con una superficie útil de 59 m². La propiedad cuenta con dos dormitorios luminosos y un baño completo, lo que la convierte en una excelente opción tanto para parejas como para pequeñas familias. Además, dispone de aire acondicionado, garantizando",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/102129938/,Piso,"calle de Santa Rosalia, 47, La Teixonera, Barcelona","calle de Santa Rosalia, 47, La Teixonera, Barcelona",89000,2.0,117.0,,"['2 hab.', '117 m²', 'Bajo exterior sin ascensor']","A REFORMAR! FOTOS SON PROYECTO, MIRAR VIDEO! nunca podra tener la CED. ULA, ideal para hacer un estudio, planta de arriba estudio y abajo tu negocio o al reves! zona tranquila, no incluye impuestos, notaria, registro y honorarios de agencia. a tan solo 5 minutos del metro de coll de la teixonera.",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106969313/,Estudio,"calle Alcalde Zalamea, 26, El Carmel, Barcelona","calle Alcalde Zalamea, 26, El Carmel, Barcelona",49000,,20.0,,"['20 m²', 'Bajo exterior sin ascensor']",Es un Loft con aseo y ducha aparte. Buen estado y con ventilación a la calle. Muchas posibilidades. Sin celula de habitabilidad Cerca de metro y autobus y zona comercial.,,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106974747/,Estudio,"calle de les Torres, 88, Les Roquetes, Barcelona","calle de les Torres, 88, Les Roquetes, Barcelona",99000,,58.0,,"['58 m²', 'Bajo exterior sin ascensor']","ESTUPENDO LOLF en Nou Barris! Es un semisotano de 58 m2, a dos alturas, cocina office equipada, baño completo, buena ventilación, amueblado, suelo gres imitación parket, al lado de metro y autobuses. Zona comercial con supermercado y farmacia. Ven a verlo sin compromiso! ABSTENERSE AGENCIAS!",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106971146/,Piso,"calle del Rabí Rubèn, La Font de la Guatlla, Barcelona","calle del Rabí Rubèn, La Font de la Guatlla, Barcelona",94000,1.0,31.0,,"['1 hab.', '31 m²', 'Bajo exterior sin ascensor']","¡Oportunidad única para adquirir este estudio reformado integralmente en una zona privilegiada!Este encantador piso tipo estudio, completamente renovado, cuenta con 31 m² construidos y 24 m² útiles que aprovechan al máximo cada rincón para ofrecer un espacio funcional y moderno. Diseñado como un ambiente único, es pe",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106967496/,Estudio,"La Bordeta, Barcelona","La Bordeta, Barcelona",89500,,35.0,,"['35 m²', 'Bajo interior sin ascensor']","Tenemos varios estudios para vosotros. Entre ellos, este con varias opciones. Puede comprarse tal cual, para los más creativos, o con el proyecto de reforma hecho. Así que me parece que es un espacio apto para todo el mundo.Este estudio a pie de calle NO TIENE CÉDULA DE HABITABILIDAD. Está a reformar o se puede compr",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106961267/,Piso,"calle d&#039;Alpens, La Bordeta, Barcelona","calle d&#039;Alpens, La Bordeta, Barcelona",89500,2.0,34.0,,"['2 hab.', '34 m²', 'Bajo exterior sin ascensor']","ESTUDIO DIÁFANO PARA REFORMAR EN SANTS-MONTJUICImagina un acogedor estudio de 34 metros cuadrados en el animado distrito de Sants-Montjuïc.  Este espacio abierto es perfecto para quienes buscan un lugar que puedan adaptar a su estilo personal. Al estar en la planta baja, disfrutarás de un acceso sencillo y práctico,",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106961056/,Piso,"calle de Beret, 72, Can Peguera - El Turó de la Peira, Barcelona","calle de Beret, 72, Can Peguera - El Turó de la Peira, Barcelona",89000,1.0,39.0,,"['1 hab.', '39 m²', 'Entreplanta interior con ascensor']","¡Oportunidad única de inversión en el corazón de la ciudad! Este acogedor piso de 39 m² construidos (29,8 m² útiles) ofrece una rentabilidad del 9,72%, ideal para quienes buscan asegurar su futuro financiero. Situado en un edificio con ascensor y orientación este, este inmueble se presenta como una joya del año 1955, m",Alquilada,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/104650948/,Piso,"via Favència, Les Roquetes, Barcelona","via Favència, Les Roquetes, Barcelona",90000,1.0,35.0,,"['1 hab.', '35 m²', 'Planta 5ª exterior sin ascensor']","MAGNÍFICAS VISTAS SOBRE BARCELONA5º real de altura sin ascensor - 25 m2 útilesPiso situado en Via Favencia, enfrente de la Biblioteca Les RoquetesPara reformar.El PVP no incluye impuestos, ni gastos notariales, ni de registro.",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106871436/,Piso,"calle de la Mina de la Ciutat, Les Roquetes, Barcelona","calle de la Mina de la Ciutat, Les Roquetes, Barcelona",70100,3.0,60.0,,"['3 hab.', '60 m²', 'Entreplanta sin ascensor']","Vivienda piso en la calle Mina de la Ciutat de Barcelona. - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en",,
2025-01-18 16:50:13,https://www.idealista.com/inmueble/106945924/,Estudio,"La Font de la Guatlla, Barcelona","La Font de la Guatlla, Barcelona",94000,,29.0,,"['29 m²', 'Bajo exterior con ascensor']","Estudio tipo local de 28 m² con acceso directo desde la calle. Se encuentra junto al Parque Montjuic y Plaza España, a pocos metros de la línea L1 del metro y a solo 15 minutos de la playa. El espacio es diáfano, cuenta con cocina, baño completo y un pequeño patio, con excelente ventilación y abundante luz natural.*",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/104891324/,Piso,"calle de les Carretes, El Raval, Barcelona","calle de les Carretes, El Raval, Barcelona",92000,1.0,44.0,,"['1 hab.', '44 m²', 'Planta 1ª sin ascensor']","Oportunidad sólo para inversores. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de 44 m² en venta, situado en Barcelona. Construido en 1920, este piso dispone de una superficie de 44 m² y está distribuido en varias estancias. La vivienda está bien comunicada, próxima a la estación",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106912666/,Piso,"La Trinitat Nova, Barcelona","La Trinitat Nova, Barcelona",66660,2.0,49.0,,"['2 hab.', '49 m²', ' exterior sin ascensor']","No cobramos comisión al comprador. INMUEBLE OCUPADO. ¡Gran oportunidad PARA INVERSORES en La Trinitat Nova de Barcelona!Piso con terraza, superficie de 49 m2 con 2 dormitorios y 1 baño.El Inmueble se transmite ocupado por tercero no pudiendo hacer visitas físicas al inmueble. El precio ha sido determinado teniendo e",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/97894860/,Piso,"calle de Rodrigo Caro, Les Roquetes, Barcelona","calle de Rodrigo Caro, Les Roquetes, Barcelona",65000,1.0,50.0,67000.0,"['1 hab.', '50 m²', ' sin ascensor']","Piso situado en la planta baja de un edificio de cinco plantas sobre rasante y un sótano. No dispone de ascensor. Está situado en la localidad y provincia de Barcelona. Posee una superficie construida aproximada de 50 m² que se distribuyen en salón-comedor, cocina, dormitorio, un baño, un aseo, lavadero y trastero. Pos",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/86126317/,Piso,"Can Peguera - El Turó de la Peira, Barcelona","Can Peguera - El Turó de la Peira, Barcelona",80500,3.0,53.0,115000.0,"['3 hab.', '53 m²', ' exterior con ascensor']","No cobramos comisión al comprador. INMUEBLE OCUPADO. ¡Gran oportunidad PARA INVERSORES en Nou Barris de Barcelona!Ático con ascensor, superficie de 54 m2 con 3 dormitorios y 1 baño.El Inmueble se transmite ocupado por tercero no pudiendo hacer visitas físicas al inmueble. El precio ha sido determinado teniendo en cu",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106894608/,Estudio,"calle de Simancas, Les Roquetes, Barcelona","calle de Simancas, Les Roquetes, Barcelona",75000,,56.0,,"['56 m²', 'Bajo interior con ascensor']","¡Descubre el potencial de este encantador estudio en venta! Situado en una ubicación tranquila pero perfectamente comunicada, este espacio de 59 m² construidos y 56 m² útiles es una joya esperando ser transformada. Con una distribución excelente y accesibilidad inmejorable, ofrece dos habitaciones dobles y un amplio sa",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/101938558/,Piso,"El Besòs, Barcelona","El Besòs, Barcelona",92000,2.0,54.0,,"['2 hab.', '54 m²', 'Planta 2ª ']","Cómodo piso en Barcelona, ideal para parejas. La vivienda consta de 54 m² construidos distribuidos en 2 habitaciones, salón-comedor, cocina además de 1 baño completo. El inmueble es muy luminoso. Ubicado en la 2a planta del edificio, sin ascensor. Cuenta con todos los servicios necesarios a su alrededor, como la Escola",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106883157/,Piso,"calle de Rodrigo Caro, Les Roquetes, Barcelona","calle de Rodrigo Caro, Les Roquetes, Barcelona",65000,1.0,50.0,,"['1 hab.', '50 m²', ' sin ascensor']","Piso situado en la planta baja de un edificio de cinco plantas sobre rasante y un sótano. No dispone de ascensor. Está situado en la localidad y provincia de Barcelona. Posee una superficie construida aproximada de 50 m² que se distribuyen en salón-comedor, cocina, dormitorio, un baño, un aseo, lavadero y trastero. Pos",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106879817/,Piso,"Passatge de Porta, Porta, Barcelona","Passatge de Porta, Porta, Barcelona",95000,1.0,53.0,,"['1 hab.', '53 m²', 'Bajo exterior con ascensor']","Características principalesSuperficie: 53 m²Estado: Completamente reformado, con acabados modernos y funcionales.Distribución: Espacio diseñado para maximizar el confort, con cocina abierta, salón-comedor amplio y una habitación independiente.Baño: Completo, con plato de ducha.Descripción del inmuebleEste p",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106876168/,Estudio,"calle de Cermeño, La Barceloneta, Barcelona","calle de Cermeño, La Barceloneta, Barcelona",98000,,34.0,,"['34 m²', 'Bajo exterior sin ascensor']","IVOR HOME || Ref. V3454Se vende estudio a reformar, consta de 34m2 construidos según catastro, distribuido en 3 estancias. Una estancia principal y otras dos secundaria que se pueden emplear a modo de despacho o habitación, ambas son exteriores. Se trata de un inmueble que se encuentra en buen estado de conservación",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106874779/,Piso,"calle de Plutó, La Teixonera, Barcelona","calle de Plutó, La Teixonera, Barcelona",81000,1.0,50.0,,"['1 hab.', '50 m²', ' sin ascensor']","Piso ubicado en la planta sótano de un edificio plurifamiliar de cuatro alturas sobre rasante sin ascensor, situado en el Barcelona capital. La vivienda se distribuye en salón con cocina americana y un baño. Cuenta con puerta de entrada normal. Cocina y baños con paredes alicatadas. Carpintería interior en madera. Suel",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106874635/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",62000,3.0,56.0,,"['3 hab.', '56 m²', ' con ascensor']","Vivienda en la calle Rasos de Peguera, de la barriada de San Andrés de Palomar de Barcelona. Tiene una superficie cincuenta y seis metros con sesenta y cuatro decímetros cuadrados, distribuidos en salón-comedor, tres dormitorios, baño completo con bañera y bidet, y cocina. La vivienda cuenta con calefacción individual",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106874634/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",54200,2.0,55.0,,"['2 hab.', '55 m²', ' sin ascensor']","Vivienda piso ubicada en la Avenida Rasos de Peguera, Barcelona. - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catast",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106874235/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",53400,2.0,57.0,,"['2 hab.', '57 m²', ' sin ascensor']","Piso situado en la 1º planta de un edificio plurifamiliar bajo rasante con 5 alturas en el municipio de Barcelona, provincia de Barcelona. La vivienda tiene 50,30m2. El inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares características. Cuenta con fácil acceso a la carretera y",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106874034/,Piso,"calle de Travau, Can Peguera - El Turó de la Peira, Barcelona","calle de Travau, Can Peguera - El Turó de la Peira, Barcelona",82400,2.0,59.0,,"['2 hab.', '59 m²', ' sin ascensor']","Vivienda en el municipio de Barcelona, provincia de Barcelona. El inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares características. Cuenta con fácil acceso a la carretera y otros nudos de comunicación. Cercano a establecimientos y comercios de la zona. - El inmueble ha sido",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106873652/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",53000,2.0,52.0,,"['2 hab.', '52 m²', ' sin ascensor']","Piso de 3 dormitorios y de 1 baño en Barcelona. Cuenta con una superfície de 57 m2. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106873319/,Piso,"calle de Marsala, El Besòs, Barcelona","calle de Marsala, El Besòs, Barcelona",80000,2.0,50.0,,"['2 hab.', '50 m²', ' sin ascensor']","Inmueble a la venta en la ciudad de Barcelona. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comerc",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106873177/,Chalet pareado,"calle de Llobera, Les Roquetes, Barcelona","calle de Llobera, Les Roquetes, Barcelona",85000,2.0,97.0,,"['2 hab.', '97 m²']","Casa adosada de 97 m² en venta, situada en Barcelona. Construida en 1958, esta casa adosada dispone de una superficie construida de 97 m², siendo la útil de 60 m² y se distribuye en salón, cocina, 2 dormitorios y 1 baño. Precisa de reformas. La vivienda está muy bien comunicada, próxima a la estación de metro Roquetes,",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106873094/,Piso,"calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",72000,3.0,60.0,,"['3 hab.', '60 m²', ' sin ascensor']","Piso de 3 dormitorios y de 1 baño en Barcelona. Cuenta con una superfície de 60 m2. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado de",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106872756/,Piso,"calle de Llobera, Les Roquetes, Barcelona","calle de Llobera, Les Roquetes, Barcelona",64800,2.0,55.0,,"['2 hab.', '55 m²', ' sin ascensor']","Vivienda en el municipio de Badalona, provincia de Barcelona. El inmueble se encuentra en una zona tranquila, rodeado por viviendas residenciales de similares características. Cuenta con fácil acceso a la carretera y otros nudos de comunicación. Cercano a establecimientos y comercios de la zona. - El inmueble ha sido a",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106872750/,Piso,"calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona","calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona",99300,4.0,98.0,,"['4 hab.', '98 m²', ' sin ascensor']","Vivienda piso en la Calle Mare de Deu de Lorda, en la provincia de Barcelona. - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado regis",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106872003/,Piso,"avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","avenida dels Rasos de Peguera, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",83900,3.0,80.0,,"['3 hab.', '80 m²', 'Planta 11ª con ascensor']","Se trata de una Vivienda situada en un edificio de dieciocho alturas sobre rasante, ubicado en la calle Avenida Rasos de Peguera, en la ciudad de Barcelona. El edificio dispone de varios ascensores. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo qu",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106871896/,Piso,"calle de Sant Gil, El Raval, Barcelona","calle de Sant Gil, El Raval, Barcelona",93000,1.0,39.0,,"['1 hab.', '39 m²', ' sin ascensor']","Piso de 1 dormitorio y de 1 baño en Barcelona. Cuenta con una superfície de 39.9 m2. - El inmueble ha sido adquirido a través de un procedimiento judicial (concursal o hipotecario) por el vendedor, el cual no ha tomado todavía posesión del mismo. El Inmueble se transmite sin conocerse por parte del Vendedor el estado d",,
2025-01-18 16:50:17,https://www.idealista.com/inmueble/106871688/,Piso,"via de Bàrcino, La Trinitat Vella, Barcelona","via de Bàrcino, La Trinitat Vella, Barcelona",59300,2.0,43.0,,"['2 hab.', '43 m²', ' sin ascensor']","Vivienda piso ubicada en la calle Barcino de Barcelona. - El inmueble se encuentra ocupado ilegalmente por terceros y sin los suministros debidamente contratados. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, inseparable (iii) en el estado registral y catastral en el que se encu",,
